iter	Passed	Remaining
547	6343	5231
548	6354	5219
549	6364	5207
550	6375	5195
551	6386	5182
552	6396	5170
553	6406	5157
554	6417	5145
555	6429	5134
556	6440	5122
557	6451	5110
558	6461	5097
559	6472	5085
560	6483	5073
561	6495	5062
562	6508	5052
563	6519	5039
564	6529	5027
565	6542	5017
566	6555	5006
567	6569	4996
568	6582	4986
569	6594	4974
570	6605	4962
571	6617	4951
572	6629	4940
573	6641	4929
574	6655	4918
575	6665	4906
576	6676	4894
577	6689	4884
578	6702	4873
579	6714	4862
580	6724	4849
581	6736	4838
582	6746	4825
583	6758	4814
584	6768	4801
585	6779	4789
586	6789	4777
587	6800	4764
588	6811	4752
589	6823	4741
590	6837	4731
591	6849	4720
592	6861	4709
593	6872	4697
594	6882	4684
595	6892	4672
596	6903	4660
597	6915	4648
598	6925	4636
599	6935	4623
600	6946	4611
601	6957	4599
602	6968	4587
603	6979	4576
604	6990	4563
605	7000	4551
606	7010	4539
607	7021	4527
608	7031	4514
609	7041	4502
610	7051	4489
611	7061	4476
612	7070	4463
613	7080	4451
614	7090	4438
615	7099	4425
616	7109	4413
617	7119	4400
618	7130	4388
619	7141	4376
620	7151	4364
621	7163	4353
622	7175	4342
623	7186	4330
624	7196	4317
625	7206	4305
626	7216	4293
627	7227	4281
628	7238	4269
629	7249	4257
630	7261	4246
631	7274	4235
632	7287	4225
633	7300	4214
634	7313	4203
635	7325	4192
636	7338	4182
637	7350	4170
638	7363	4159
639	7377	4149
640	7390	4139
641	7404	4129
642	7420	4119
643	7432	4108
644	7444	4097
645	7457	4086
646	7468	4074
647	7479	4063
648	7493	4052
649	7507	4042
650	7518	4030
651	7530	4019
652	7541	4007
653	7552	3995
654	7563	3983
655	7573	3971
656	7584	3959
657	7594	3947
658	7606	3936
659	7617	3924
660	7628	3912
661	7640	3901
662	7652	3889
663	7662	3877
664	7674	3865
665	7684	3853
666	7695	3841
667	7705	3829
668	7716	3817
669	7727	3806
670	7740	3795
671	7750	3783
672	7762	3771
673	7773	3759
674	7783	3747
675	7794	3735
676	7807	3724
677	7819	3713
